open_time,open,high,low,close,volume
2025-05-07 13:00:00,0.0635200,0.0648200,0.0627900,0.0639800,10426361
2025-05-07 14:00:00,0.0639800,0.0645000,0.0627300,0.0631300,10213049
2025-05-07 15:00:00,0.0631300,0.0632400,0.0621700,0.0622200,7138674
2025-05-07 16:00:00,0.0622200,0.0623900,0.0611400,0.0620000,12218141
2025-05-07 17:00:00,0.0619900,0.0621900,0.0613300,0.0619700,6839924
2025-05-07 18:00:00,0.0619700,0.0642700,0.0613500,0.0628700,16822659
2025-05-07 19:00:00,0.0628700,0.0629600,0.0616400,0.0618100,7794745
2025-05-07 20:00:00,0.0618100,0.0620500,0.0612000,0.0618600,6276966
2025-05-07 21:00:00,0.0618700,0.0625000,0.0614800,0.0623700,6053888
2025-05-07 22:00:00,0.0623600,0.0660000,0.0622300,0.0652200,24049938
2025-05-07 23:00:00,0.0652200,0.0654400,0.0640700,0.0646700,11277810
2025-05-08 00:00:00,0.0647000,0.0653200,0.0634000,0.0650100,10510079
2025-05-08 01:00:00,0.0650000,0.0659300,0.0635600,0.0637200,11261571
2025-05-08 02:00:00,0.0637300,0.0658100,0.0637300,0.0646100,10683833
2025-05-08 03:00:00,0.0646200,0.0659700,0.0643500,0.0651400,12326827
2025-05-08 04:00:00,0.0651600,0.0722400,0.0646400,0.0701500,79630501
2025-05-08 05:00:00,0.0701700,0.0708400,0.0693300,0.0696600,18928604
2025-05-08 06:00:00,0.0696600,0.0728800,0.0695800,0.0722700,19109074
2025-05-08 07:00:00,0.0723100,0.0753100,0.0719700,0.0745900,38306171
2025-05-08 08:00:00,0.0745900,0.0786700,0.0745800,0.0768900,75676177
2025-05-08 09:00:00,0.0769000,0.0789300,0.0766700,0.0785200,43526309
2025-05-08 10:00:00,0.0785200,0.0811900,0.0777900,0.0805000,72145748
2025-05-08 11:00:00,0.0805200,0.0811500,0.0792800,0.0805200,42698043
2025-05-08 12:00:00,0.0805400,0.0820000,0.0793200,0.0800400,46556933
2025-05-08 13:00:00,0.0800500,0.0811600,0.0795500,0.0804700,32581582
2025-05-08 14:00:00,0.0805000,0.0820000,0.0801900,0.0806900,43393619
2025-05-08 15:00:00,0.0806900,0.0831000,0.0789800,0.0807100,87935465
2025-05-08 16:00:00,0.0807000,0.0831300,0.0799100,0.0801700,45726861
2025-05-08 17:00:00,0.0801700,0.0814500,0.0792600,0.0810800,24295507
2025-05-08 18:00:00,0.0810900,0.0814400,0.0776100,0.0778000,27954797
2025-05-08 19:00:00,0.0777900,0.0803800,0.0776800,0.0800200,17906736
2025-05-08 20:00:00,0.0800100,0.0815000,0.0795600,0.0810700,16094654
2025-05-08 21:00:00,0.0810700,0.0826800,0.0796600,0.0808300,23897090
2025-05-08 22:00:00,0.0808300,0.0813100,0.0784900,0.0796100,10716406
2025-05-08 23:00:00,0.0795800,0.0811700,0.0792400,0.0809100,11300748
2025-05-09 00:00:00,0.0808700,0.0880000,0.0795600,0.0876300,71725097
2025-05-09 01:00:00,0.0876400,0.1016900,0.0855500,0.0922100,171522477
2025-05-09 02:00:00,0.0922100,0.0930400,0.0883000,0.0910400,42985662
2025-05-09 03:00:00,0.0910000,0.0945500,0.0901000,0.0919900,55275118
2025-05-09 04:00:00,0.0920100,0.0923800,0.0868400,0.0879400,62211511
2025-05-09 05:00:00,0.0879300,0.0896900,0.0867400,0.0892600,55164581
2025-05-09 06:00:00,0.0892900,0.0928400,0.0882100,0.0922600,45340377
2025-05-09 07:00:00,0.0922400,0.0929800,0.0880900,0.0899100,70324163
2025-05-09 08:00:00,0.0898800,0.0928400,0.0870100,0.0889200,65326561
2025-05-09 09:00:00,0.0889000,0.0893000,0.0868900,0.0890000,42386253
2025-05-09 10:00:00,0.0890000,0.0906300,0.0882600,0.0899100,28620111
2025-05-09 11:00:00,0.0899200,0.0903200,0.0880000,0.0901800,22397658
2025-05-09 12:00:00,0.0901300,0.0901300,0.0834400,0.0842400,44327271
2025-05-09 13:00:00,0.0842500,0.0849200,0.0813200,0.0825200,61684370
2025-05-09 14:00:00,0.0824800,0.0833600,0.0731300,0.0763700,109416309
2025-05-09 15:00:00,0.0763600,0.0784700,0.0760200,0.0768400,39275812
2025-05-09 16:00:00,0.0768400,0.0768700,0.0739100,0.0741900,31381850
2025-05-09 17:00:00,0.0742000,0.0755700,0.0737800,0.0753400,15766527
2025-05-09 18:00:00,0.0753300,0.0754000,0.0730200,0.0732900,13197730
2025-05-09 19:00:00,0.0732700,0.0733100,0.0697900,0.0700900,28159700
2025-05-09 20:00:00,0.0700700,0.0720500,0.0690500,0.0708000,21576862
2025-05-09 21:00:00,0.0708100,0.0731000,0.0705300,0.0730600,15549558
2025-05-09 22:00:00,0.0730600,0.0731400,0.0713400,0.0726500,14837143
2025-05-09 23:00:00,0.0726400,0.0741300,0.0706600,0.0710700,17275238
2025-05-10 00:00:00,0.0710700,0.0739100,0.0704400,0.0708800,27709427
2025-05-10 01:00:00,0.0709000,0.0722900,0.0676700,0.0699800,21299117
2025-05-10 02:00:00,0.0699800,0.0707200,0.0687100,0.0699700,13735359
2025-05-10 03:00:00,0.0699500,0.0701900,0.0686200,0.0697700,13613435
2025-05-10 04:00:00,0.0697700,0.0702300,0.0687200,0.0696900,11648870
2025-05-10 05:00:00,0.0696900,0.0715800,0.0694200,0.0714900,13073957
2025-05-10 06:00:00,0.0715000,0.0738500,0.0712800,0.0735000,23058405
2025-05-10 07:00:00,0.0734700,0.0767500,0.0726000,0.0740600,32822274
2025-05-10 08:00:00,0.0741100,0.0757700,0.0730200,0.0738000,22901805
2025-05-10 09:00:00,0.0738700,0.0744200,0.0722800,0.0731600,15446149
2025-05-10 10:00:00,0.0731700,0.0759800,0.0710000,0.0734600,29868356
2025-05-10 11:00:00,0.0735200,0.0758800,0.0730300,0.0754000,21380141
2025-05-10 12:00:00,0.0753400,0.0772300,0.0743000,0.0752500,27253563
2025-05-10 13:00:00,0.0752500,0.0757300,0.0738500,0.0748000,8876566
2025-05-10 14:00:00,0.0748100,0.0755600,0.0740000,0.0743300,7966981
2025-05-10 15:00:00,0.0743200,0.0769000,0.0726200,0.0744500,23862835
2025-05-10 16:00:00,0.0744200,0.0764300,0.0741100,0.0760000,12365489
2025-05-10 17:00:00,0.0760100,0.0924700,0.0753800,0.0895000,98424538
2025-05-10 18:00:00,0.0894800,0.0942200,0.0870200,0.0908200,68815745
2025-05-10 19:00:00,0.0908400,0.0946200,0.0899100,0.0922800,47239932
2025-05-10 20:00:00,0.0922800,0.1032600,0.0895200,0.0998100,154645524
2025-05-10 21:00:00,0.0998600,0.1062500,0.0996000,0.1056000,91273555
2025-05-10 22:00:00,0.1056000,0.1069900,0.1024900,0.1056900,62793099
2025-05-10 23:00:00,0.1056800,0.1087600,0.1034100,0.1082000,62075951
2025-05-11 00:00:00,0.1081900,0.1104300,0.1041700,0.1067400,97999844
2025-05-11 01:00:00,0.1067200,0.1119300,0.1050800,0.1071100,79862683
2025-05-11 02:00:00,0.1070900,0.1095700,0.1056900,0.1085900,54418685
2025-05-11 03:00:00,0.1085900,0.1095700,0.1073600,0.1088400,31218542
2025-05-11 04:00:00,0.1088500,0.1107600,0.1081800,0.1098200,41532723
2025-05-11 05:00:00,0.1098300,0.1109100,0.1053300,0.1059900,55325520
2025-05-11 06:00:00,0.1059800,0.1192800,0.1045000,0.1135600,162572827
2025-05-11 07:00:00,0.1135700,0.1137100,0.1060000,0.1071500,118286254
2025-05-11 08:00:00,0.1071600,0.1145800,0.1065000,0.1081100,89309403
2025-05-11 09:00:00,0.1080700,0.1117900,0.1080200,0.1093500,59572118
2025-05-11 10:00:00,0.1093500,0.1126100,0.1089800,0.1123300,56001035
2025-05-11 11:00:00,0.1123600,0.1128100,0.1106200,0.1117300,54346922
2025-05-11 12:00:00,0.1117300,0.1159300,0.1116100,0.1149900,99867631
2025-05-11 13:00:00,0.1150000,0.1171600,0.1116100,0.1122400,99421479
